t (s)	x (m)	y (m)
2,32	2,22243584	2,480352
2,34	2,23406452	2,496488
2,36	2,24572128	2,512608
2,38	2,25740636	2,528712
2,40	2,26912	2,5448
2,42	2,28086244	2,560872
2,44	2,29263392	2,576928
2,46	2,30443468	2,592968
2,48	2,31626496	2,608992
2,50	2,328125	2,625
2,52	2,34001504	2,640992
2,54	2,35193532	2,656968
2,56	2,36388608	2,672928
2,58	2,37586756	2,688872
2,60	2,38788	2,7048
2,62	2,39992364	2,720712
2,64	2,41199872	2,736608
2,66	2,42410548	2,752488
2,68	2,43624416	2,768352
2,70	2,448415	2,7842
2,72	2,46061824	2,800032
2,74	2,47285412	2,815848
2,76	2,48512288	2,831648
2,78	2,49742476	2,847432
2,80	2,50976	2,8632
2,82	2,52212884	2,878952
2,84	2,53453152	2,894688
2,86	2,54696828	2,910408
2,88	2,55943936	2,926112
2,90	2,571945	2,9418
2,92	2,58448544	2,957472
2,94	2,59706092	2,973128
2,96	2,60967168	2,988768
2,98	2,62231796	3,004392
3,00	2,635	3,02
3,02	2,64771804	3,035592
3,04	2,66047232	3,051168
3,06	2,67326308	3,066728
3,08	2,68609056	3,082272
3,10	2,698955	3,0978
3,12	2,71185664	3,113312
3,14	2,72479572	3,128808
3,16	2,73777248	3,144288
3,18	2,75078716	3,159752
3,20	2,76384	3,1752
3,22	2,77693124	3,190632
3,24	2,79006112	3,206048
3,26	2,80322988	3,221448
3,28	2,81643776	3,236832
3,30	2,829685	3,2522
3,32	2,84297184	3,267552
3,34	2,85629852	3,282888
3,36	2,86966528	3,298208
3,38	2,88307236	3,313512
3,40	2,89652	3,3288
3,42	2,91000844	3,344072
3,44	2,92353792	3,359328
3,46	2,93710868	3,374568
3,48	2,95072096	3,389792
3,50	2,964375	3,405
3,52	2,97807104	3,420192
3,54	2,99180932	3,435368
3,56	3,00559008	3,450528
3,58	3,01941356	3,465672
3,60	3,03328	3,4808
3,62	3,04718964	3,495912
3,64	3,06114272	3,511008
3,66	3,07513948	3,526088
3,68	3,08918016	3,541152
3,70	3,103265	3,5562
3,72	3,11739424	3,571232
3,74	3,13156812	3,586248
3,76	3,14578688	3,601248
3,78	3,16005076	3,616232
3,80	3,17436	3,6312
3,82	3,18871484	3,646152
3,84	3,20311552	3,661088
3,86	3,21756228	3,676008
3,88	3,23205536	3,690912
3,90	3,246595	3,7058
3,92	3,26118144	3,720672
3,94	3,27581492	3,735528
3,96	3,29049568	3,750368
3,98	3,30522396	3,765192
4,00	3,32	3,78
4,02	3,33482404	3,794792
4,04	3,34969632	3,809568
4,06	3,36461708	3,824328
4,08	3,37958656	3,839072
4,10	3,394605	3,8538
4,12	3,40967264	3,868512
4,14	3,42478972	3,883208
4,16	3,43995648	3,897888
4,18	3,45517316	3,912552
4,20	3,47044	3,9272
4,22	3,48575724	3,941832
4,24	3,50112512	3,956448
4,26	3,51654388	3,971048
4,28	3,53201376	3,985632
4,30	3,547535	4,0002
4,32	3,56310784	4,014752
4,34	3,57873252	4,029288
4,36	3,59440928	4,043808
4,38	3,61013836	4,058312
4,40	3,62592	4,0728
4,42	3,64175444	4,087272
4,44	3,65764192	4,101728
4,46	3,67358268	4,116168
4,48	3,68957696	4,130592
4,50	3,705625	4,145
4,52	3,72172704	4,159392
4,54	3,73788332	4,173768
4,56	3,75409408	4,188128
4,58	3,77035956	4,202472
4,60	3,78668	4,2168
4,62	3,80305564	4,231112
4,64	3,81948672	4,245408
4,66	3,83597348	4,259688
4,68	3,85251616	4,273952
4,70	3,869115	4,2882
4,72	3,88577024	4,302432
4,74	3,90248212	4,316648
4,76	3,91925088	4,330848
4,78	3,93607676	4,345032
4,80	3,95296	4,3592
4,82	3,96990084	4,373352
4,84	3,98689952	4,387488
4,86	4,00395628	4,401608
4,88	4,02107136	4,415712
4,90	4,038245	4,4298
4,92	4,05547744	4,443872
4,94	4,07276892	4,457928
4,96	4,09011968	4,471968
4,98	4,10752996	4,485992
5,00	4,125	4,5
5,02	4,14253004	4,513992
5,04	4,16012032	4,527968
5,06	4,17777108	4,541928
5,08	4,19548256	4,555872
5,10	4,213255	4,5698
5,12	4,23108864	4,583712
5,14	4,24898372	4,597608
5,16	4,26694048	4,611488
5,18	4,28495916	4,625352
5,20	4,30304	4,6392
5,22	4,32118324	4,653032
5,24	4,33938912	4,666848
5,26	4,35765788	4,680648
5,28	4,37598976	4,694432
5,30	4,394385	4,7082
5,32	4,41284384	4,721952
5,34	4,43136652	4,735688
5,36	4,44995328	4,749408
5,38	4,46860436	4,763112
5,40	4,48732	4,7768
5,42	4,50610044	4,790472
5,44	4,52494592	4,804128
5,46	4,54385668	4,817768
5,48	4,56283296	4,831392
5,50	4,581875	4,845
5,52	4,60098304	4,858592
5,54	4,62015732	4,872168
5,56	4,63939808	4,885728
5,58	4,65870556	4,899272
5,60	4,67808	4,9128
5,62	4,69752164	4,926312
5,64	4,71703072	4,939808
5,66	4,73660748	4,953288
5,68	4,75625216	4,966752
5,70	4,775965	4,9802
5,72	4,79574624	4,993632
5,74	4,81559612	5,007048
5,76	4,83551488	5,020448
5,78	4,85550276	5,033832
5,80	4,87556	5,0472
5,82	4,89568684	5,060552
5,84	4,91588352	5,073888
5,86	4,93615028	5,087208
5,88	4,95648736	5,100512
5,90	4,976895	5,1138
5,92	4,99737344	5,127072
5,94	5,01792292	5,140328
5,96	5,03854368	5,153568
5,98	5,05923596	5,166792
6,00	5,08	5,18
6,02	5,10083604	5,193192
6,04	5,12174432	5,206368
6,06	5,14272508	5,219528
6,08	5,16377856	5,232672
6,10	5,184905	5,2458
6,12	5,20610464	5,258912
6,14	5,22737772	5,272008
6,16	5,24872448	5,285088
6,18	5,27014516	5,298152
6,20	5,29164	5,3112
6,22	5,31320924	5,324232
6,24	5,33485312	5,337248
6,26	5,35657188	5,350248
6,28	5,37836576	5,363232
6,30	5,400235	5,3762
6,32	5,42217984	5,389152
6,34	5,44420052	5,402088
6,36	5,46629728	5,415008
6,38	5,48847036	5,427912
6,40	5,51072	5,4408
6,42	5,53304644	5,453672
6,44	5,55544992	5,466528
6,46	5,57793068	5,479368
6,48	5,60048896	5,492192
6,50	5,623125	5,505
6,52	5,64583904	5,517792
6,54	5,66863132	5,530568
6,56	5,69150208	5,543328
6,58	5,71445156	5,556072
6,60	5,73748	5,5688
6,62	5,76058764	5,581512
6,64	5,78377472	5,594208
6,66	5,80704148	5,606888
6,68	5,83038816	5,619552
6,70	5,853815	5,6322
6,72	5,87732224	5,644832
6,74	5,90091012	5,657448
6,76	5,92457888	5,670048
6,78	5,94832876	5,682632
6,80	5,97216	5,6952
6,82	5,99607284	5,707752
6,84	6,02006752	5,720288
6,86	6,04414428	5,732808
6,88	6,06830336	5,745312
6,90	6,092545	5,7578
6,92	6,11686944	5,770272
6,94	6,14127692	5,782728
6,96	6,16576768	5,795168
6,98	6,19034196	5,807592
7,00	6,215	5,82
7,02	6,23974204	5,832392
7,04	6,26456832	5,844768
7,06	6,28947908	5,857128
7,08	6,31447456	5,869472
7,10	6,339555	5,8818
7,12	6,36472064	5,894112
7,14	6,38997172	5,906408
7,16	6,41530848	5,918688
7,18	6,44073116	5,930952
7,20	6,46624	5,9432
7,22	6,49183524	5,955432
7,24	6,51751712	5,967648
7,26	6,54328588	5,979848
7,28	6,56914176	5,992032
7,30	6,595085	6,0042
7,32	6,62111584	6,016352
7,34	6,64723452	6,028488
7,36	6,67344128	6,040608
7,38	6,69973636	6,052712
7,40	6,72612	6,0648
7,42	6,75259244	6,076872
7,44	6,77915392	6,088928
7,46	6,80580468	6,100968
7,48	6,83254496	6,112992
7,50	6,859375	6,125
7,52	6,88629504	6,136992
7,54	6,91330532	6,148968
7,56	6,94040608	6,160928
7,58	6,96759756	6,172872
7,60	6,99488	6,1848
7,62	7,02225364	6,196712
7,64	7,04971872	6,208608
7,66	7,07727548	6,220488
7,68	7,10492416	6,232352
7,70	7,132665	6,2442
7,72	7,16049824	6,256032
7,74	7,18842412	6,267848
7,76	7,21644288	6,279648
7,78	7,24455476	6,291432
7,80	7,27276	6,3032
7,82	7,30105884	6,314952
7,84	7,32945152	6,326688
7,86	7,35793828	6,338408
7,88	7,38651936	6,350112
7,90	7,415195	6,3618
7,92	7,44396544	6,373472
7,94	7,47283092	6,385128
7,96	7,50179168	6,396768
7,98	7,53084796	6,408392
8,00	7,56	6,42
8,02	7,58924804	6,431592
8,04	7,61859232	6,443168
8,06	7,64803308	6,454728
8,08	7,67757056	6,466272
8,10	7,707205	6,4778
8,12	7,73693664	6,489312
8,14	7,76676572	6,500808
8,16	7,79669248	6,512288
8,18	7,82671716	6,523752
8,20	7,85684	6,5352
8,22	7,88706124	6,546632
8,24	7,91738112	6,558048
8,26	7,94779988	6,569448
8,28	7,97831776	6,580832
8,30	8,008935	6,5922
8,32	8,03965184	6,603552
8,34	8,07046852	6,614888
8,36	8,10138528	6,626208
8,38	8,13240236	6,637512
8,40	8,16352	6,6488
8,42	8,19473844	6,660072
8,44	8,22605792	6,671328
8,46	8,25747868	6,682568
8,48	8,28900096	6,693792
8,50	8,320625	6,705
8,52	8,35235104	6,716192
8,54	8,38417932	6,727368
8,56	8,41611008	6,738528
8,58	8,44814356	6,749672
8,60	8,48028	6,7608
8,62	8,51251964	6,771912
8,64	8,54486272	6,783008
8,66	8,57730948	6,794088
8,68	8,60986016	6,805152
8,70	8,642515	6,8162
8,72	8,67527424	6,827232
8,74	8,70813812	6,838248
8,76	8,74110688	6,849248
8,78	8,77418076	6,860232
8,80	8,80736	6,8712
8,82	8,84064484	6,882152
8,84	8,87403552	6,893088
8,86	8,90753228	6,904008
8,88	8,94113536	6,914912
8,90	8,974845	6,9258
8,92	9,00866144	6,936672
8,94	9,04258492	6,947528
8,96	9,07661568	6,958368
8,98	9,11075396	6,969192
9,00	9,145	6,98
9,02	9,17935404	6,990792
9,04	9,21381632	7,001568
9,06	9,24838708	7,012328
9,08	9,28306656	7,023072
9,10	9,317855	7,0338
9,12	9,35275264	7,044512
9,14	9,38775972	7,055208
9,16	9,42287648	7,065888
9,18	9,45810316	7,076552
9,20	9,49344	7,0872
9,22	9,52888724	7,097832
9,24	9,56444512	7,108448
9,26	9,60011388	7,119048
9,28	9,63589376	7,129632
9,30	9,671785	7,1402
9,32	9,70778784	7,150752
9,34	9,74390252	7,161288
9,36	9,78012928	7,171808
9,38	9,81646836	7,182312
9,40	9,85292	7,1928
9,42	9,88948444	7,203272
9,44	9,92616192	7,213728
9,46	9,96295268	7,224168
9,48	9,99985696	7,234592
9,50	10,036875	7,245
9,52	10,07400704	7,255392
9,54	10,11125332	7,265768
9,56	10,14861408	7,276128
9,58	10,18608956	7,286472
9,60	10,22368	7,2968
9,62	10,26138564	7,307112
9,64	10,29920672	7,317408
9,66	10,33714348	7,327688
9,68	10,37519616	7,337952
9,70	10,413365	7,3482
9,72	10,45165024	7,358432
9,74	10,49005212	7,368648
9,76	10,52857088	7,378848
9,78	10,56720676	7,389032
9,80	10,60596	7,3992
9,82	10,64483084	7,409352
9,84	10,68381952	7,419488
9,86	10,72292628	7,429608
9,88	10,76215136	7,439712
9,90	10,801495	7,4498
9,92	10,84095744	7,459872
9,94	10,88053892	7,469928
9,96	10,92023968	7,479968
9,98	10,96005996	7,489992
10,00	11	7,5
10,02	11,04006004	7,509992
10,04	11,08024032	7,519968
10,06	11,12054108	7,529928
10,08	11,16096256	7,539872
10,10	11,201505	7,5498
10,12	11,24216864	7,559712
10,14	11,28295372	7,569608
10,16	11,32386048	7,579488
10,18	11,36488916	7,589352
10,20	11,40604	7,5992
10,22	11,44731324	7,609032
10,24	11,48870912	7,618848
10,26	11,53022788	7,628648
10,28	11,57186976	7,638432
10,30	11,613635	7,6482
10,32	11,65552384	7,657952
10,34	11,69753652	7,667688
10,36	11,73967328	7,677408
10,38	11,78193436	7,687112
10,40	11,82432	7,6968
10,42	11,86683044	7,706472
10,44	11,90946592	7,716128
10,46	11,95222668	7,725768
10,48	11,99511296	7,735392
10,50	12,038125	7,745
10,52	12,08126304	7,754592
10,54	12,12452732	7,764168
10,56	12,16791808	7,773728
10,58	12,21143556	7,783272
10,60	12,25508	7,7928
10,62	12,29885164	7,802312
10,64	12,34275072	7,811808
10,66	12,38677748	7,821288
10,68	12,43093216	7,830752
10,70	12,475215	7,8402
10,72	12,51962624	7,849632
10,74	12,56416612	7,859048
10,76	12,60883488	7,868448
10,78	12,65363276	7,877832
10,80	12,69856	7,8872
10,82	12,74361684	7,896552
10,84	12,78880352	7,905888
10,86	12,83412028	7,915208
10,88	12,87956736	7,924512
10,90	12,925145	7,9338
10,92	12,97085344	7,943072
10,94	13,01669292	7,952328
10,96	13,06266368	7,961568
10,98	13,10876596	7,970792
11,00	13,155	7,98
11,02	13,20136604	7,989192
11,04	13,24786432	7,998368
11,06	13,29449508	8,007528
11,08	13,34125856	8,016672
11,10	13,388155	8,0258
11,12	13,43518464	8,034912
11,14	13,48234772	8,044008
11,16	13,52964448	8,053088
11,18	13,57707516	8,062152
11,20	13,62464	8,0712
11,22	13,67233924	8,080232
11,24	13,72017312	8,089248
11,26	13,76814188	8,098248
11,28	13,81624576	8,107232
11,30	13,864485	8,1162
11,32	13,91285984	8,125152
11,34	13,96137052	8,134088
11,36	14,01001728	8,143008
11,38	14,05880036	8,151912
11,40	14,10772	8,1608
11,42	14,15677644	8,169672
11,44	14,20596992	8,178528
11,46	14,25530068	8,187368
11,48	14,30476896	8,196192
11,50	14,354375	8,205
11,52	14,40411904	8,213792
11,54	14,45400132	8,222568
11,56	14,50402208	8,231328
11,58	14,55418156	8,240072
11,60	14,60448	8,2488
11,62	14,65491764	8,257512
11,64	14,70549472	8,266208
11,66	14,75621148	8,274888
11,68	14,80706816	8,283552
11,70	14,858065	8,2922
11,72	14,90920224	8,300832
11,74	14,96048012	8,309448
11,76	15,01189888	8,318048
11,78	15,06345876	8,326632
11,80	15,11516	8,3352
11,82	15,16700284	8,343752
11,84	15,21898752	8,352288
11,86	15,27111428	8,360808
11,88	15,32338336	8,369312
11,90	15,375795	8,3778
11,92	15,42834944	8,386272
11,94	15,48104692	8,394728
11,96	15,53388768	8,403168
11,98	15,58687196	8,411592
12,00	15,64	8,42
12,02	15,69327204	8,428392
12,04	15,74668832	8,436768
12,06	15,80024908	8,445128
12,08	15,85395456	8,453472
12,10	15,907805	8,4618
12,12	15,96180064	8,470112
12,14	16,01594172	8,478408
12,16	16,07022848	8,486688
12,18	16,12466116	8,494952
12,20	16,17924	8,5032
12,22	16,23396524	8,511432
12,24	16,28883712	8,519648
12,26	16,34385588	8,527848
12,28	16,39902176	8,536032
12,30	16,454335	8,5442
12,32	16,50979584	8,552352
12,34	16,56540452	8,560488
12,36	16,62116128	8,568608
12,38	16,67706636	8,576712
12,40	16,73312	8,5848
12,42	16,78932244	8,592872
12,44	16,84567392	8,600928
12,46	16,90217468	8,608968
12,48	16,95882496	8,616992
12,50	17,015625	8,625
12,52	17,07257504	8,632992
12,54	17,12967532	8,640968
12,56	17,18692608	8,648928
12,58	17,24432756	8,656872
12,60	17,30188	8,6648
12,62	17,35958364	8,672712
12,64	17,41743872	8,680608
12,66	17,47544548	8,688488
12,68	17,53360416	8,696352
12,70	17,591915	8,7042
12,72	17,65037824	8,712032
12,74	17,70899412	8,719848
12,76	17,76776288	8,727648
12,78	17,82668476	8,735432
12,80	17,88576	8,7432
12,82	17,94498884	8,750952
12,84	18,00437152	8,758688
12,86	18,06390828	8,766408
12,88	18,12359936	8,774112
12,90	18,183445	8,7818
12,92	18,24344544	8,789472
12,94	18,30360092	8,797128
12,96	18,36391168	8,804768
12,98	18,42437796	8,812392
13,00	18,485	8,82
13,02	18,54577804	8,827592
13,04	18,60671232	8,835168
13,06	18,66780308	8,842728
13,08	18,72905056	8,850272
13,10	18,790455	8,8578
13,12	18,85201664	8,865312
13,14	18,91373572	8,872808
13,16	18,97561248	8,880288
13,18	19,03764716	8,887752
13,20	19,09984	8,8952
13,22	19,16219124	8,902632
13,24	19,22470112	8,910048
13,26	19,28736988	8,917448
13,28	19,35019776	8,924832
13,30	19,413185	8,9322
13,32	19,47633184	8,939552
13,34	19,53963852	8,946888
13,36	19,60310528	8,954208
13,38	19,66673236	8,961512
13,40	19,73052	8,9688
13,42	19,79446844	8,976072
13,44	19,85857792	8,983328
13,46	19,92284868	8,990568
13,48	19,98728096	8,997792
13,50	20,051875	9,005
13,52	20,11663104	9,012192
13,54	20,18154932	9,019368
13,56	20,24663008	9,026528
13,58	20,31187356	9,033672
13,60	20,37728	9,0408
13,62	20,44284964	9,047912
13,64	20,50858272	9,055008
13,66	20,57447948	9,062088
13,68	20,64054016	9,069152
13,70	20,706765	9,0762
13,72	20,77315424	9,083232
13,74	20,83970812	9,090248
13,76	20,90642688	9,097248
13,78	20,97331076	9,104232
13,80	21,04036	9,1112
13,82	21,10757484	9,118152
13,84	21,17495552	9,125088
13,86	21,24250228	9,132008
13,88	21,31021536	9,138912
13,90	21,378095	9,1458
13,92	21,44614144	9,152672
13,94	21,51435492	9,159528
13,96	21,58273568	9,166368
13,98	21,65128396	9,173192
14,00	21,72	9,18
14,02	21,78888404	9,186792
14,04	21,85793632	9,193568
14,06	21,92715708	9,200328
14,08	21,99654656	9,207072
14,10	22,066105	9,2138
14,12	22,13583264	9,220512
14,14	22,20572972	9,227208
14,16	22,27579648	9,233888
14,18	22,34603316	9,240552
14,20	22,41644	9,2472
14,22	22,48701724	9,253832
14,24	22,55776512	9,260448
14,26	22,62868388	9,267048
14,28	22,69977376	9,273632
14,30	22,771035	9,2802
14,32	22,84246784	9,286752
14,34	22,91407252	9,293288
14,36	22,98584928	9,299808
14,38	23,05779836	9,306312
14,40	23,12992	9,3128
14,42	23,20221444	9,319272
14,44	23,27468192	9,325728
14,46	23,34732268	9,332168
14,48	23,42013696	9,338592
14,50	23,493125	9,345
14,52	23,56628704	9,351392
14,54	23,63962332	9,357768
14,56	23,71313408	9,364128
14,58	23,78681956	9,370472
14,60	23,86068	9,3768
14,62	23,93471564	9,383112
14,64	24,00892672	9,389408
14,66	24,08331348	9,395688
14,68	24,15787616	9,401952
14,70	24,232615	9,4082
14,72	24,30753024	9,414432
14,74	24,38262212	9,420648
14,76	24,45789088	9,426848
14,78	24,53333676	9,433032
14,80	24,60896	9,4392
14,82	24,68476084	9,445352
14,84	24,76073952	9,451488
14,86	24,83689628	9,457608
14,88	24,91323136	9,463712
14,90	24,989745	9,4698
14,92	25,06643744	9,475872
14,94	25,14330892	9,481928
14,96	25,22035968	9,487968
14,98	25,29758996	9,493992
15,00	25,375	9,5
15,02	25,45259004	9,505992
15,04	25,53036032	9,511968
15,06	25,60831108	9,517928
15,08	25,68644256	9,523872
15,10	25,764755	9,5298
15,12	25,84324864	9,535712
15,14	25,92192372	9,541608
15,16	26,00078048	9,547488
15,18	26,07981916	9,553352
15,20	26,15904	9,5592
15,22	26,23844324	9,565032
15,24	26,31802912	9,570848
15,26	26,39779788	9,576648
15,28	26,47774976	9,582432
15,30	26,557885	9,5882
15,32	26,63820384	9,593952
15,34	26,71870652	9,599688
15,36	26,79939328	9,605408
15,38	26,88026436	9,611112
15,40	26,96132	9,6168
15,42	27,04256044	9,622472
15,44	27,12398592	9,628128
15,46	27,20559668	9,633768
15,48	27,28739296	9,639392
15,50	27,369375	9,645
15,52	27,45154304	9,650592
15,54	27,53389732	9,656168
15,56	27,61643808	9,661728
15,58	27,69916556	9,667272
15,60	27,78208	9,6728
15,62	27,86518164	9,678312
15,64	27,94847072	9,683808
15,66	28,03194748	9,689288
15,68	28,11561216	9,694752
15,70	28,199465	9,7002
15,72	28,28350624	9,705632
15,74	28,36773612	9,711048
15,76	28,45215488	9,716448
15,78	28,53676276	9,721832
15,80	28,62156	9,7272
15,82	28,70654684	9,732552
15,84	28,79172352	9,737888
15,86	28,87709028	9,743208
15,88	28,96264736	9,748512
15,90	29,048395	9,7538
15,92	29,13433344	9,759072
15,94	29,22046292	9,764328
15,96	29,30678368	9,769568
15,98	29,39329596	9,774792
16,00	29,48	9,78
16,02	29,56689604	9,785192
16,04	29,65398432	9,790368
16,06	29,74126508	9,795528
16,08	29,82873856	9,800672
16,10	29,916405	9,8058
16,12	30,00426464	9,810912
16,14	30,09231772	9,816008
16,16	30,18056448	9,821088
16,18	30,26900516	9,826152
16,20	30,35764	9,8312
16,22	30,44646924	9,836232
16,24	30,53549312	9,841248
16,26	30,62471188	9,846248
16,28	30,71412576	9,851232
16,30	30,803735	9,8562
16,32	30,89353984	9,861152
16,34	30,98354052	9,866088
16,36	31,07373728	9,871008
16,38	31,16413036	9,875912
16,40	31,25472	9,8808
16,42	31,34550644	9,885672
16,44	31,43648992	9,890528
16,46	31,52767068	9,895368
16,48	31,61904896	9,900192
16,50	31,710625	9,905
16,52	31,80239904	9,909792
16,54	31,89437132	9,914568
16,56	31,98654208	9,919328
16,58	32,07891156	9,924072
16,60	32,17148	9,9288
16,62	32,26424764	9,933512
16,64	32,35721472	9,938208
16,66	32,45038148	9,942888
16,68	32,54374816	9,947552
16,70	32,637315	9,9522
16,72	32,73108224	9,956832
16,74	32,82505012	9,961448
16,76	32,91921888	9,966048
16,78	33,01358876	9,970632
16,80	33,10816	9,9752
16,82	33,20293284	9,979752
16,84	33,29790752	9,984288
16,86	33,39308428	9,988808
16,88	33,48846336	9,993312
16,90	33,584045	9,9978
16,92	33,67982944	10,002272
16,94	33,77581692	10,006728
16,96	33,87200768	10,011168
16,98	33,96840196	10,015592
17,00	34,065	10,02
17,02	34,16180204	10,024392
17,04	34,25880832	10,028768
17,06	34,35601908	10,033128
17,08	34,45343456	10,037472
17,10	34,551055	10,0418
17,12	34,64888064	10,046112
17,14	34,74691172	10,050408
17,16	34,84514848	10,054688
17,18	34,94359116	10,058952
17,20	35,04224	10,0632
17,22	35,14109524	10,067432
17,24	35,24015712	10,071648
17,26	35,33942588	10,075848
17,28	35,43890176	10,080032
17,30	35,538585	10,0842
17,32	35,63847584	10,088352
17,34	35,73857452	10,092488
17,36	35,83888128	10,096608
17,38	35,93939636	10,100712
17,40	36,04012	10,1048
17,42	36,14105244	10,108872
17,44	36,24219392	10,112928
17,46	36,34354468	10,116968
17,48	36,44510496	10,120992
17,50	36,546875	10,125
17,52	36,64885504	10,128992
17,54	36,75104532	10,132968
17,56	36,85344608	10,136928
17,58	36,95605756	10,140872
17,60	37,05888	10,1448
17,62	37,16191364	10,148712
17,64	37,26515872	10,152608
17,66	37,36861548	10,156488
17,68	37,47228416	10,160352
17,70	37,576165	10,1642
17,72	37,68025824	10,168032
17,74	37,78456412	10,171848
17,76	37,88908288	10,175648
17,78	37,99381476	10,179432
17,80	38,09876	10,1832
17,82	38,20391884	10,186952
17,84	38,30929152	10,190688
17,86	38,41487828	10,194408
17,88	38,52067936	10,198112
17,90	38,626695	10,2018
17,92	38,73292544	10,205472
17,94	38,83937092	10,209128
17,96	38,94603168	10,212768
17,98	39,05290796	10,216392
18,00	39,16	10,22
18,02	39,26730804	10,223592
18,04	39,37483232	10,227168
18,06	39,48257308	10,230728
18,08	39,59053056	10,234272
18,10	39,698705	10,2378
18,12	39,80709664	10,241312
18,14	39,91570572	10,244808
18,16	40,02453248	10,248288
18,18	40,13357716	10,251752
18,20	40,24284	10,2552
18,22	40,35232124	10,258632
18,24	40,46202112	10,262048
18,26	40,57193988	10,265448
18,28	40,68207776	10,268832
18,30	40,792435	10,2722
18,32	40,90301184	10,275552
18,34	41,01380852	10,278888
18,36	41,12482528	10,282208
18,38	41,23606236	10,285512
18,40	41,34752	10,2888
18,42	41,45919844	10,292072
18,44	41,57109792	10,295328
18,46	41,68321868	10,298568
18,48	41,79556096	10,301792
18,50	41,908125	10,305
18,52	42,02091104	10,308192
18,54	42,13391932	10,311368
18,56	42,24715008	10,314528
18,58	42,36060356	10,317672
18,60	42,47428	10,3208
18,62	42,58817964	10,323912
18,64	42,70230272	10,327008
18,66	42,81664948	10,330088
18,68	42,93122016	10,333152
18,70	43,046015	10,3362
18,72	43,16103424	10,339232
18,74	43,27627812	10,342248
18,76	43,39174688	10,345248
18,78	43,50744076	10,348232
18,80	43,62336	10,3512
18,82	43,73950484	10,354152
18,84	43,85587552	10,357088
18,86	43,97247228	10,360008
18,88	44,08929536	10,362912
18,90	44,206345	10,3658
18,92	44,32362144	10,368672
18,94	44,44112492	10,371528
